,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
2600,10.0,299.52852310000003,41173.5804,Social,99.84284103,No,412.3839023,Yes,Female,After_16:00,0.993443385,0.8316939190000001,5.97302618,7.3148445970000004,2.496418359,4.4437960510000005,9697.0,11.24228542,,4979.165893,51276.08613,No,170060.4829,20.68002503,129.8846729,29.47453477,10078.43575,70.0,Below_30,5.0,644.6677641,12.0,Car,Hightech,437.06456439999994,1.0,No
8738,6.0,748.8932441000001,99460.11435,Environment,249.63108140000003,No,398.428408,Yes,Female,By_16:00,0.018560289,0.39630597,3.969294445,8.878089464,0.715570303,5.694024193,9149.0,8.899168158,404.0828646,4792.44981,50663.30051,No,158745.1963,20.10181247,139.7300282,77.5805692,62575.307870000004,90.0,30-45,2.0,654.8954278,11.0,Public_or_other,,502.7560176,0.0,No
8699,5.0,106.6042924,11660.856000000002,Environment,35.53476413,No,328.1534655,Yes,Female,After_16:00,0.152378016,0.92774345,1.98374395,3.875792609,7.11774274,9.819649112999999,5489.0,65.54396735,362.8297921,4007.194239,43803.93489,No,107684.6969,19.04809156,241.5700605,28.59638773,1308.254226,,30-45,1.0,559.3391727999999,8.0,Foot_or_bicycle,Industry_or_other,399.9540266,4.0,Yes
4598,5.0,519.887737,92023.92129,Social,173.29591230000003,No,531.0218807,No,Female,After_16:00,0.372610701,0.315423711,2.944272335,4.837551198,5.52926728,8.481673087999999,8280.0,27.08390157,426.87524019999995,6163.969287,53357.5551,No,281984.2378,20.66095933,97.99250708,37.77380129,30214.76915,70.0,45_and_up,0.0,658.5978153,8.0,Foot_or_bicycle,Services_or_Retail,442.6158221,0.0,Yes
3420,1.0,416.6569633,41114.45192,Education,138.8856544,No,296.03094780000004,Yes,Male,After_16:00,0.7814864570000001,0.292979208,6.772636853,6.181132945,8.140001138999999,1.7749535269999999,6625.0,9.043001058,368.4781332,3697.265744,43672.58188,No,87634.32207000001,19.19578425,263.1278452,73.71802933,19438.11066,100.0,45_and_up,5.0,560.4030909,9.0,Foot_or_bicycle,Hightech,398.3393526,1.0,Yes
4165,7.0,1967.4855350000003,157207.3309,Environment,655.8285118,Yes,239.70798480000002,Yes,,By_16:00,0.039231675,0.455940365,3.9063471460000003,0.369022354,5.150764866,6.054249771,6464.0,74.22010393,197.1314389,2791.342725,20166.444040000002,Yes,57459.91795,14.04035038,629.0660343,21.68159278,430776.8654,90.0,30-45,1.0,208.3650324,14.0,Motorcycle_or_truck,Public_Sector,13.95187796,0.0,No
9344,7.0,65.30392403,14956.10985,Social,21.76797468,No,687.0694254,No,Female,After_16:00,0.694309319,0.076098544,2.865465882,2.8643095310000004,8.639542353,9.707653206,9118.0,99.472548,632.0842169,8134.862687999999,73476.76769,No,472064.3953,25.14128511,229.30148390000002,23.74843191,505.6126962,70.0,30-45,1.0,881.7099139000001,8.0,Foot_or_bicycle,Public_Sector,488.2543523,0.0,No
5049,1.0,827.1847623,100558.1215,Education,275.7282541,No,364.7000986,Yes,Male,After_16:00,0.915163653,0.8419929340000001,8.512026602,6.0738006470000006,2.009317533,2.920233498,3459.0,86.11796931,363.9438727,4374.888731,48428.81688,No,133006.1619,19.07731304,204.299005,11.893576800000002,76311.79837,100.0,45_and_up,1.0,649.0935254999999,11.0,Public_or_other,Public_Sector,570.1480602999999,0.0,Yes
3879,8.0,91.3460582,8933.766128,Financial,30.44868607,No,293.4039948,Yes,Male,After_16:00,0.342687174,0.483013635,0.671382041,1.501925725,2.711955253,3.7759375360000003,7197.0,3.099145903,500.7281343,3935.4962170000003,60359.460479999994,No,86085.90417000001,22.37695543,264.8985482,48.02212671,967.5711692,60.0,30-45,4.0,812.8944557,11.0,Public_or_other,Hightech,665.7974706,0.0,No
5607,6.0,733.2662217999999,123562.1777,Social,244.42207390000002,No,505.5278997,No,Female,By_16:00,0.187345103,0.06641573099999999,2.330255476,2.571265379,6.385711576,6.521128195,8854.0,5.2577261580000005,420.30319160000005,5895.88538,52493.72785,No,255558.4574,20.50129732,96.00287574,26.17775474,59996.5723,70.0,30-45,3.0,652.2060587000001,7.0,Motorcycle_or_truck,Services_or_Retail,446.7607926,0.0,Yes
8024,9.0,70.77238047,11409.80514,Foreign_Affairs,23.59079349,No,483.65499639999996,Yes,Male,After_16:00,0.231271421,0.466212998,9.012143884,0.326692925,9.577342453,5.17905779,7693.0,87.85923666,452.17663789999995,5740.90324,52626.727,Maybe,233922.1555,21.26444539,150.87065769999998,91.52330619,590.116331,40.0,45_and_up,1.0,634.2475397000001,9.0,Foot_or_bicycle,Student_or_Unemployed,357.8461318,0.0,Yes
9919,10.0,726.0959788,125114.7133,Education,242.0319929,No,516.9346075,No,Male,After_16:00,0.7156218590000001,0.828702065,4.028159089,7.056316305,2.527898406,5.873581499,5640.0,32.21480513,463.6917521000001,6096.729579,57314.593779999996,No,267221.3884,21.53350302,40.17430468,81.70073926,58831.5176,100.0,30-45,2.0,717.5239785,9.0,Car,Industry_or_other,,0.0,No
1802,1.0,298.45409739999997,72546.44915,Environment,99.48469914,No,729.2221797,No,Male,After_16:00,0.058546009,0.234099912,5.136272137,2.159891124,2.8701308510000003,6.575086303,6150.0,7.426265511,637.8821166,8567.98603,74819.37802999999,No,531764.9873,25.25632825,267.537515,56.84022419,10006.690059999999,90.0,30-45,1.0,894.6689848999999,10.0,Foot_or_bicycle,Public_Sector,495.3057241,2.0,Yes
4688,2.0,355.9920071,59710.47011,Healthcare,118.6640024,No,503.1894165,No,Female,By_16:00,0.355462085,0.6594516970000001,2.648438122,7.553089226,0.296867127,9.953561642,8727.0,86.28546323,471.1806311000001,5974.255427,57252.51481,No,253199.5889,21.70669554,36.13971688,70.22675079999999,14209.809459999999,80.0,45_and_up,4.0,713.5955147999999,8.0,Foot_or_bicycle,Services_or_Retail,478.42801039999995,1.0,Yes
7750,5.0,244.1519502,32710.641460000003,Other,81.3839834,No,401.92971760000006,Yes,Female,By_16:00,0.16972918899999997,0.78233779,4.686636606,2.69240486,6.272170546,7.601628751,6139.0,11.78907661,444.5663697,4908.429915,53978.31971,Maybe,,21.08474258,112.7068233,31.85345128,6714.736737,50.0,45_and_up,0.0,692.0462901000001,11.0,Motorcycle_or_truck,Student_or_Unemployed,503.48717120000003,0.0,Yes
4496,10.0,578.3745043,81206.95439,Social,192.7915014,No,421.21646330000004,Yes,Female,By_16:00,0.510783908,0.004514356,8.979389467,9.358994216000001,8.103386289,9.901300331,5263.0,94.51308278,358.0357083,4928.23605,46048.784060000005,No,177423.30899999998,18.92183153,171.28016350000001,27.00937167,37371.35452,70.0,30-45,2.0,587.0765558999999,13.0,Car,Student_or_Unemployed,445.4455442,1.0,No
4000,10.0,1535.702866,345293.4165,Financial,511.90095549999995,Yes,674.5316897999999,No,Female,After_16:00,0.9790996279999999,0.687391713,4.815704199,7.03416913,,4.099836445,8314.0,65.27605187,358.6763143,7462.669526000001,49437.0355,Yes,454993.0005,18.93875166,244.5090085,29.26353894,262564.4892,60.0,30-45,1.0,591.9116700000001,10.0,Car,Services_or_Retail,403.2996363,0.0,No
3585,9.0,478.5942141,62855.11259,Financial,159.53140469999997,No,393.9983648,Yes,Male,After_16:00,0.265816659,0.597828711,,6.906070421,6.303522901,5.51215783,9047.0,51.56978641,496.7853449,4933.554338,57823.7499,No,155234.7115,22.28868199,106.1724063,67.19065662,25619.80049,60.0,45_and_up,2.0,733.962084,9.0,Foot_or_bicycle,Student_or_Unemployed,494.91087419999997,0.0,Yes
4696,9.0,773.561416,140433.1922,Other,257.85380530000003,No,544.6233070000001,No,Male,After_16:00,0.7586795000000001,0.606821724,3.9947658010000002,1.08503588,0.643867136,4.994870576,9079.0,95.99975895,426.93720830000007,6300.107486,53937.11252,Maybe,296614.5465,20.66245891,95.56056173,69.65390323,66756.43873,50.0,30-45,1.0,667.478419,7.0,Foot_or_bicycle,Services_or_Retail,457.5452016,0.0,No
8850,5.0,138.49195459999999,14671.538330000001,Social,46.16398486,No,317.8135157,Yes,Male,After_16:00,0.930250028,0.04452313,3.916048182,0.050319694000000005,2.605707755,4.625541108999999,4812.0,54.54307348,378.5101296,3935.1554170000004,44552.68041,No,101005.4308,19.45533679,247.05601299999998,43.94416311,2187.277483,70.0,30-45,3.0,565.2456916,6.0,Motorcycle_or_truck,Hightech,385.61044669999995,0.0,Yes
4883,4.0,176.8259468,18987.19844,Healthcare,58.94198228,No,322.1336933,Yes,Female,After_16:00,0.6444650510000001,0.13386661,6.1348245939999995,3.524872835,0.16290043199999998,1.29617868,7655.0,72.41836342,384.7528684,3990.8426700000005,45462.87653,No,103770.1164,19.61511836,234.22846260000003,90.65252170000001,3543.099257,80.0,Below_30,3.0,578.6295221,8.0,Foot_or_bicycle,Hightech,400.27714260000005,0.0,No
9662,4.0,397.797325,46302.429469999995,Education,132.59910829999998,No,349.19110730000006,Yes,Male,By_16:00,0.549810943,0.068677282,5.246169281,2.243542108,3.023717632,8.034592441000001,4311.0,38.561756,377.7183666,4247.347806000001,45545.72465,No,121934.4294,19.43497791,214.700231,14.25379594,17725.12264,100.0,30-45,2.0,579.039695,9.0,Foot_or_bicycle,Student_or_Unemployed,408.34810869999995,0.0,No
8496,10.0,438.519997,59267.214920000006,Social,146.1733323,No,405.4584648,Yes,Male,After_16:00,0.248779384,0.286389134,3.420736194,8.457091744,7.229097253,4.589189983,7069.0,20.3142978,337.35978900000003,4729.304226,44870.43421,No,164396.5667,18.36735662,189.4302735,26.20471693,21522.81642,70.0,30-45,2.0,,9.0,Public_or_other,Industry_or_other,477.77639919999996,0.0,Yes
3937,7.0,77.55311932,9944.400731,Education,25.85103977,No,384.6808801,Yes,,By_16:00,0.564419274,0.23349419800000001,6.679381884,4.60431085,2.170264209,9.730858502,9104.0,55.277106999999994,445.5008976,4737.810596,52029.12139,No,147979.3795,,146.3503753,27.84963823,704.1272971,,30-45,0.0,653.5379092999999,12.0,Foot_or_bicycle,Industry_or_other,428.23802699999993,0.0,Yes
6421,6.0,,-4399.115741,Social,-8.227939637999999,Yes,534.6558111,No,Female,By_16:00,0.154275944,0.995719569,6.6724758479999995,9.683898946000001,1.642136003,1.29017781,6878.0,42.29171122,329.2335241,6005.025159000001,50478.16403,Yes,285856.8364,18.14479331,232.78732730000002,3.7689748219999997,69.47105105,70.0,Below_30,0.0,676.9569118,12.0,Public_or_other,Services_or_Retail,654.362318,2.0,No
3522,1.0,1584.996029,256142.18300000002,Financial,528.3320095,Yes,484.8129176,Yes,Female,By_16:00,0.538511524,0.9217278390000001,7.305838896,0.212809506,5.219495385,1.57026476,7558.0,58.01587517,482.6572132,5813.443603,57294.51195,Yes,235043.5651,21.96946092,51.52635499,78.81221329,279673.0443,60.0,30-45,2.0,709.8318118,9.0,Foot_or_bicycle,Hightech,453.9180563,0.0,Yes
6912,5.0,236.46277,34529.214739999996,Healthcare,78.82092334,No,438.07168550000006,Yes,Male,After_16:00,0.151948831,0.35475235,3.439577206,9.636449527,0.252725522,4.524865548999999,7722.0,45.63142203,454.96883169999995,5290.654519,54615.630970000006,No,,21.3299984,82.87216864,14.81528163,6301.55888,80.0,45_and_up,3.0,687.4292426,14.0,Public_or_other,Services_or_Retail,468.30025109999997,1.0,Yes
8514,3.0,1944.698198,111564.2429,Healthcare,648.2327328,Yes,172.105229,Yes,Female,By_16:00,0.592118673,0.369769532,6.718539002000001,7.870504265,4.612137601000001,2.728848264,3911.0,95.00583375,2.0882673609999998,1725.228825,10186.134759999999,Yes,29620.20985,1.4450838590000001,626.2110082,92.80152367,420863.9086,80.0,Below_30,3.0,173.2918001,14.0,Motorcycle_or_truck,Industry_or_other,308.40367319999996,0.0,Yes
2953,7.0,105.33991940000001,11627.5743,Military,,No,331.1443859,Yes,Male,After_16:00,0.457070475,0.8633313020000001,3.541372879,3.8200301580000002,7.318202143,6.182410902999999,5277.0,25.55158834,500.2991423,4312.042143,56398.54549,Maybe,109656.6043,22.3673678,172.0157102,64.69429529,1278.057597,30.0,45_and_up,0.0,716.9740915,7.0,Car,Hightech,467.18084960000004,0.0,Yes
895,5.0,372.56266150000005,58535.73248,Foreign_Affairs,124.18755379999999,No,471.3494282,Yes,Female,By_16:00,0.308114025,0.44506185600000003,1.5679288169999999,8.008381743,1.36989173,0.41290831299999997,5839.0,82.05758287,478.6737297,5670.841740999999,55230.42156,Maybe,222170.2834,21.87861352,117.5743489,82.86541179,15556.73608,40.0,45_and_up,2.0,671.9322323,7.0,Foot_or_bicycle,Public_Sector,387.98186560000005,0.0,No
747,7.0,805.8484641,73123.04918,Healthcare,268.6161547,No,272.2213385,Yes,Female,After_16:00,0.071305742,0.910133898,9.914122303,6.13942934,4.93565232,0.007223831,3306.0,58.85993263,479.42687760000007,3681.0671399999997,57582.5566,No,74104.45715,21.89581872,265.4812007,22.11516805,72433.25472000001,80.0,Below_30,1.0,776.1116201,13.0,Motorcycle_or_truck,Public_Sector,634.8105927999999,1.0,Yes
4199,5.0,637.2170751,138083.0988,Education,212.40569169999998,No,650.0913307,No,Female,By_16:00,0.676956708,0.162707915,6.993837687,5.6008918020000005,4.505325982,7.879570019,4461.0,97.92380787,627.9305883,7756.774483,,No,422618.7382,25.05854322,199.6176341,45.37288717,45338.58356,100.0,30-45,1.0,864.7068044,,Motorcycle_or_truck,Industry_or_other,469.1202836,1.0,Yes
310,3.0,163.2303926,,Environment,54.41013086,No,730.9266397000001,No,Female,After_16:00,0.63825878,0.993804481,6.689568378,1.783099442,1.493894251,0.06919020599999999,8158.0,92.69943421,695.2485467,8699.763490000001,80292.62258,No,534253.7526,26.36756619,304.14454739999996,82.09952058,3024.872471,90.0,30-45,2.0,965.0551815,10.0,Foot_or_bicycle,Public_Sector,532.4776509999999,0.0,Yes
3867,4.0,1194.482718,169275.1952,Financial,398.16090610000003,Yes,425.14268119999997,Yes,Male,By_16:00,0.09289641400000001,,7.713350696,1.647242312,7.384186393999999,7.170588982000001,9633.0,16.12730746,421.03956380000005,5093.50594,50065.74816,Yes,180746.2994,20.51924862,149.1043422,12.32633109,158940.2681,60.0,Below_30,4.0,620.4750381,9.0,Foot_or_bicycle,Public_Sector,398.0503252,1.0,Yes
5418,4.0,273.8461215,62957.05956,Education,91.28204051,No,689.6982058,No,Male,After_16:00,0.83300858,0.778646222,3.2876656389999996,3.396551525,7.612085815,5.563112113,6436.0,96.19812018,658.2223676,8213.426793,75589.74604,No,475683.6151,25.65584471,247.3497844,84.55330771,8433.69296,100.0,30-45,1.0,905.0022803999999,11.0,Motorcycle_or_truck,Services_or_Retail,487.26465779999995,0.0,No
6945,10.0,239.9015076,54085.996,Education,79.96716919,No,676.352515,No,Female,By_16:00,0.200804863,0.30726362,3.961849038,2.758670859,2.7817969189999996,6.655404617,8536.0,4.220459471,627.7322847,8018.9897200000005,72672.50707,No,457452.7246,25.0545861,219.0326739,10.49049117,6484.715318,100.0,30-45,3.0,870.7667326,9.0,Motorcycle_or_truck,Public_Sector,476.3448499,0.0,No
3677,3.0,867.4547593,96098.79148,Environment,289.1515864,No,332.34744680000006,Yes,Male,After_16:00,0.544182064,0.582075487,8.987854726,1.942591432,4.9405025060000005,2.703324012,4820.0,12.62066283,440.27853960000004,4204.031547,52307.85471,No,110454.8254,20.98281534,177.9939764,2.475344087,83907.79152,90.0,Below_30,3.0,678.0868421,15.0,Motorcycle_or_truck,Industry_or_other,497.2028235,0.0,Yes
391,9.0,150.4960497,15241.778580000002,Social,50.1653499,No,303.8308037,Yes,Male,By_16:00,0.624816928,0.60005418,3.392543832,9.091291972,1.5310949930000002,4.797935458,5678.0,54.37271185,282.5178703,3603.343778,39229.27171,No,92313.15727000001,16.80826792,292.8881318,23.42277123,2576.727681,70.0,45_and_up,2.0,533.8386946,7.0,Motorcycle_or_truck,Student_or_Unemployed,498.3790618,0.0,No
1901,8.0,532.8052799999999,47776.2274,Social,177.60176,No,269.0076236,Yes,Female,After_16:00,0.076909267,0.860391606,9.742338282999999,3.735130297,5.352131182,8.509581804,3478.0,56.61861266,498.2901965,,59879.03381,No,72365.10153,22.32241467,287.6554232,26.44228772,31729.98692,70.0,45_and_up,5.0,811.0725586,13.0,Car,Industry_or_other,671.4212387,0.0,Yes
2886,3.0,45.09210565,7702.857623000001,Healthcare,15.03070188,No,512.4749118999999,No,Male,By_16:00,0.717079097,0.562671092,7.239226682999999,1.9487296019999998,2.9294983230000002,2.4097596830000003,9468.0,30.59333905,496.19678619999996,6117.142691,59513.062079999996,No,262630.5353,22.27547499,21.55607511,21.98628245,250.952701,80.0,Below_30,4.0,739.2429831000001,8.0,Motorcycle_or_truck,Industry_or_other,482.8367686000001,0.0,No
6010,6.0,18.3566734,2609.615739,Military,6.118891132999999,No,426.4850742,Yes,Male,By_16:00,0.500097207,0.599366676,8.829981333,0.276859703,5.035473336,9.716305751,9022.0,82.79835293,348.65848930000004,4962.16772,44198.83287,Maybe,181889.5185,18.67239913,198.9998106,30.38679315,53.55971983,30.0,30-45,3.0,553.3087012999999,5.0,Foot_or_bicycle,Services_or_Retail,393.73510710000005,0.0,No
5459,2.0,1086.89067,88582.55303,Healthcare,362.29689,Yes,244.50265919999998,Yes,Male,By_16:00,0.877997978,,7.922783442999999,8.483139821,8.481535909,7.9432195629999995,7467.0,42.37851985,94.05207728,2633.1307460000003,21791.18343,Yes,59781.55035,9.698045022999999,483.448539,11.07446901,131631.3334,,45_and_up,3.0,328.8900059,12.0,Foot_or_bicycle,Hightech,439.5857409,0.0,Yes
7339,9.0,194.2250469,31304.31261,Financial,64.7416823,No,483.5264006,Yes,Male,After_16:00,0.467714271,0.553144492,,5.428750832,6.830089847000001,7.280100121,6744.0,42.89192283,477.66614919999995,5790.596304,56852.567429999996,No,233797.7801,21.85557478,54.56963826,86.53796781,,60.0,Below_30,3.0,704.7592762,6.0,Foot_or_bicycle,Student_or_Unemployed,453.01420379999996,1.0,Yes
3785,3.0,192.0548756,18606.959880000002,Social,64.01829188,No,290.6506771,Yes,Male,After_16:00,0.07388689999999999,0.99603789,9.502067901,3.630261177,4.848615874,5.363573178,3986.0,67.96574036,381.6239735,3669.754718,44900.95879,No,84477.81612,19.53519832,256.78820809999996,66.72271001,4172.359987,70.0,30-45,1.0,577.5261962000001,7.0,Motorcycle_or_truck,Industry_or_other,409.9991047,0.0,No
7146,9.0,310.76694039999995,47287.33105,Foreign_Affairs,103.5889801,No,456.48997599999996,Yes,Female,After_16:00,0.134398522,0.762633535,6.38089963,5.876364672999999,0.662895706,6.522242106,7199.0,9.547241218,440.6548648,5446.20949,51631.39902,Maybe,208383.0982,20.99178089,145.2884573,48.40599594,10844.26578,40.0,Below_30,4.0,629.6009897999999,6.0,Car,Student_or_Unemployed,374.7252277,1.0,Yes
9052,2.0,144.6684206,21253.21847,Education,48.22280688,No,440.7296017,Yes,Female,By_16:00,0.269116939,0.153478305,5.698296176,3.058843589,9.270618812,5.03190384,8809.0,40.12723577,389.32150950000005,5185.939036,48999.03437,No,194242.5818,19.73123183,134.9647989,28.11951137,2383.661911,100.0,30-45,2.0,619.6995009999999,15.0,Car,Student_or_Unemployed,450.4743645,0.0,No
8279,1.0,517.4706378999999,70599.02614,Education,172.4902126,No,409.29293939999997,Yes,Male,After_16:00,0.681641249,0.8741459290000001,3.38349286,8.578429003,0.9235909840000001,7.834653459,7545.0,98.14448713,375.6741392,4844.277672,47511.26141,No,167520.7102,19.38231511,159.92969330000003,54.83816883,29935.36367,100.0,Below_30,1.0,607.2827649000001,12.0,Public_or_other,Industry_or_other,456.4934915,0.0,No
7303,8.0,87.60343356,15091.524430000001,Social,29.20114452,No,516.8127714999999,No,Male,After_16:00,0.57303524,0.8947679829999999,4.787861682,9.876162952,8.39364046,4.480934164,6187.0,58.87403644,382.09877389999997,5932.325263000001,49661.88075,No,267095.4408,19.54734698,129.8791088,67.33231547,891.9079857999999,70.0,30-45,1.0,619.6606459,7.0,Car,Hightech,448.1809445,1.0,No
8811,10.0,1441.294451,88790.23062,Social,480.4314837,Yes,184.8135138,Yes,Female,After_16:00,0.074617609,0.12488091400000001,8.386526278,4.333495053,6.452811705,9.888767602,9004.0,17.87929994,287.6405132,2423.416164,32208.139460000002,Yes,34156.034869999996,16.95996796,447.753364,93.14937531,231304.842,70.0,45_and_up,1.0,,9.0,Public_or_other,Hightech,263.26385519999997,0.0,Yes
1479,5.0,49.32615908,6876.5705769999995,,16.44205303,No,,Yes,Female,By_16:00,0.618557672,0.487604046,7.564277595,1.82030784,2.551099581,5.576755733,3122.0,8.679102501000001,431.6993642,5045.70526,55787.608360000006,No,174916.8793,20.77737626,156.663985,16.03013722,296.7831608,90.0,30-45,3.0,737.7815826,11.0,Car,Services_or_Retail,614.858179,2.0,No
7282,10.0,,109822.7675,Military,280.77311410000004,No,391.1441729,Yes,Female,After_16:00,0.964435191,0.09387069699999999,1.269344424,2.8704541619999997,5.169505435,0.43753954100000003,9237.0,24.60330138,459.68017419999995,4830.802078,51162.406339999994,Maybe,152993.764,21.44015332,200.5521355,17.65117582,79124.31471,30.0,30-45,2.0,621.0557364,7.0,Public_or_other,Public_Sector,336.4583245,1.0,Yes
4134,10.0,802.925849,74255.0615,Environment,267.6419497,No,277.4417896,Yes,Female,By_16:00,0.7449530120000001,0.273831731,9.57976087,2.718067004,7.488971277999999,7.486227935,9681.0,32.67118419,538.5764673,3851.5708310000005,62090.67064,No,,23.20725032,256.3482168,21.16557744,71909.85518,90.0,Below_30,2.0,823.0726262999999,15.0,Motorcycle_or_truck,Services_or_Retail,621.2192535,1.0,Yes
8777,4.0,1342.614616,277691.274,Social,447.5382053,Yes,620.4861857000001,No,Male,After_16:00,0.296202365,0.873979982,5.948507178,3.6301986939999997,4.083784812,8.53955575,3210.0,74.39078214,323.0353787,6850.932614,45462.41352,Yes,385003.1066,17.97318499,238.71253419999996,64.51880718,200747.9834,70.0,45_and_up,2.0,549.9830261,12.0,Motorcycle_or_truck,Services_or_Retail,394.4051335,0.0,Yes
