,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_int,Married_int,Gender_int,Voting_time_int,Financial_agenda_matters_int,Will_vote_only_large_party_int,Age_group_int,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Healthcare,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military,Main_transportation_Car,Main_transportation_Public_or_other,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Occupation_Services_or_Retail,Occupation_Public_Sector,Occupation_Student_or_Unemployed,Occupation_Hightech,Occupation_Industry_or_other
10,10.0,299.5285231000001,41173.5804,99.84284103,412.3839023,0.993443385,0.8316939190000001,5.97302618,7.314844597,2.496418359,4.4437960510000005,9697.0,11.24228542,,4979.165893,51276.08613,170060.4829,20.68002503,129.8846729,29.47453477,10078.43575,70.0,5.0,644.6677641,12.0,437.0645644,1.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,6.0,748.8932441000002,99460.11435,249.63108140000003,398.428408,0.018560289,0.39630597,3.969294445,8.878089464,0.715570303,5.694024193,9149.0,8.899168158,404.0828646,4792.44981,50663.30051,158745.1963,20.10181247,139.7300282,77.5805692,62575.30787,90.0,2.0,654.8954278,11.0,502.7560176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,5.0,106.6042924,11660.856000000002,35.53476413,328.1534655,0.152378016,0.92774345,1.98374395,3.875792609,7.11774274,9.819649112999999,5489.0,65.54396735,362.8297921,4007.194239,43803.93489,107684.6969,19.04809156,241.5700605,28.59638773,1308.254226,,1.0,559.3391727999998,8.0,399.9540266,4.0,0.0,1.0,0.0,1.0,1.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13,5.0,519.887737,92023.92129,173.29591230000003,531.0218807,0.372610701,0.315423711,2.944272335,4.837551198,5.52926728,8.481673087999999,8280.0,27.08390157,426.8752402,6163.969287,53357.5551,281984.2378,20.66095933,97.99250708,37.77380129,30214.76915,70.0,0.0,658.5978153,8.0,442.6158221,0.0,0.0,0.0,0.0,1.0,1.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
14,1.0,416.6569633,41114.45192,138.8856544,296.0309478000001,0.7814864570000001,0.292979208,6.772636853,6.181132945,8.140001138999999,1.774953527,6625.0,9.043001058,368.4781332,3697.265744,43672.58188,87634.32207000001,19.19578425,263.1278452,73.71802933,19438.11066,100.0,5.0,560.4030909,9.0,398.3393526,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,7.0,1967.4855350000007,157207.3309,655.8285118,239.7079848,0.039231675,0.455940365,3.906347146,0.369022354,5.150764866,6.054249771,6464.0,74.22010393,197.1314389,2791.342725,20166.44404,57459.91795,14.04035038,629.0660343,21.68159278,430776.8654,90.0,1.0,208.3650324,14.0,13.95187796,0.0,1.0,1.0,,0.0,0.0,2.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16,7.0,65.30392403,14956.10985,21.76797468,687.0694254,0.694309319,0.076098544,2.865465882,2.8643095310000004,8.639542353,9.707653206,9118.0,99.472548,632.0842169,8134.862687999998,73476.76769,472064.3953,25.14128511,229.3014839,23.74843191,505.6126962,70.0,1.0,881.7099139000002,8.0,488.2543523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
17,1.0,827.1847623,100558.1215,275.7282541,364.7000986,0.915163653,0.8419929340000001,8.512026602,6.0738006470000006,2.009317533,2.920233498,3459.0,86.11796931,363.9438727,4374.888731,48428.81688,133006.1619,19.07731304,204.299005,11.893576800000002,76311.79837,100.0,1.0,649.0935254999998,11.0,570.1480602999999,0.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,8.0,91.3460582,8933.766128,30.44868607,293.4039948,0.342687174,0.483013635,0.671382041,1.501925725,2.711955253,3.775937536,7197.0,3.099145903,500.7281343,3935.496217,60359.46048,86085.90417000001,22.37695543,264.8985482,48.02212671,967.5711692,60.0,4.0,812.8944557,11.0,665.7974706,0.0,0.0,1.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,6.0,733.2662217999998,123562.1777,244.4220739,505.5278997,0.187345103,0.06641573099999999,2.330255476,2.571265379,6.385711576,6.521128195,8854.0,5.2577261580000005,420.3031916000001,5895.88538,52493.72785,255558.4574,20.50129732,96.00287574,26.17775474,59996.5723,70.0,3.0,652.2060587000002,7.0,446.7607926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,9.0,70.77238047,11409.80514,23.59079349,483.6549964,0.231271421,0.466212998,9.012143884,0.326692925,9.577342453,5.17905779,7693.0,87.85923666,452.1766379,5740.90324,52626.727,233922.1555,21.26444539,150.87065769999995,91.52330619,590.116331,40.0,1.0,634.2475397000002,9.0,357.8461318,0.0,0.0,1.0,1.0,1.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,10.0,726.0959788,125114.7133,242.0319929,516.9346075,0.7156218590000001,0.828702065,4.028159089,7.056316305,2.527898406,5.873581499,5640.0,32.21480513,463.69175210000014,6096.729579,57314.59378,267221.3884,21.53350302,40.17430468,81.70073926,58831.5176,100.0,2.0,717.5239785,9.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,1.0,298.4540974,72546.44915,99.48469914,729.2221797,0.058546009,0.234099912,5.136272137,2.159891124,2.8701308510000003,6.575086303,6150.0,7.426265511,637.8821166,8567.98603,74819.37802999999,531764.9873,25.25632825,267.537515,56.84022419,10006.69006,90.0,1.0,894.6689848999998,10.0,495.3057241,2.0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
23,2.0,355.9920071,59710.47011,118.6640024,503.1894165,0.355462085,0.6594516970000001,2.648438122,7.553089226,0.296867127,9.953561642,8727.0,86.28546323,471.18063110000014,5974.255427,57252.51481,253199.5889,21.70669554,36.13971688,70.22675079999999,14209.80946,80.0,4.0,713.5955147999998,8.0,478.4280104,1.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
24,5.0,244.1519502,32710.641460000006,81.3839834,401.92971760000006,0.16972918899999995,0.78233779,4.686636606,2.69240486,6.272170546,7.601628751,6139.0,11.78907661,444.5663697,4908.429915,53978.31971,,21.08474258,112.7068233,31.85345128,6714.736737,50.0,0.0,692.0462901000002,11.0,503.4871712,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25,10.0,578.3745043,81206.95439,192.7915014,421.2164633,0.510783908,0.004514356,8.979389467,9.358994216000001,8.103386289,9.901300331,5263.0,94.51308278,358.0357083,4928.23605,46048.78406000001,177423.30899999995,18.92183153,171.2801635,27.00937167,37371.35452,70.0,2.0,587.0765558999999,13.0,445.4455442,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,10.0,1535.702866,345293.4165,511.9009555,674.5316897999999,0.979099628,0.687391713,4.815704199,7.03416913,,4.099836445,8314.0,65.27605187,358.6763143,7462.6695260000015,49437.0355,454993.0005,18.93875166,244.5090085,29.26353894,262564.4892,60.0,1.0,591.9116700000002,10.0,403.2996363,0.0,1.0,0.0,0.0,1.0,0.0,2.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,9.0,478.5942141,62855.11259,159.53140469999997,393.9983648,0.265816659,0.597828711,,6.906070421,6.303522901,5.51215783,9047.0,51.56978641,496.7853449,4933.554338,57823.7499,155234.7115,22.28868199,106.1724063,67.19065662,25619.80049,60.0,2.0,733.962084,9.0,494.9108742,0.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28,9.0,773.561416,140433.1922,257.85380530000003,544.6233070000002,0.7586795000000001,0.606821724,3.994765801,1.08503588,0.643867136,4.994870576,9079.0,95.99975895,426.93720830000007,6300.107486,53937.11252,296614.5465,20.66245891,95.56056173,69.65390323,66756.43873,50.0,1.0,667.478419,7.0,457.5452016,0.0,0.0,0.0,1.0,1.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
29,5.0,138.4919546,14671.53833,46.16398486,317.8135157,0.930250028,0.04452313,3.916048182,0.050319694000000005,2.605707755,4.625541108999999,4812.0,54.54307348,378.5101296,3935.155417,44552.68041,101005.4308,19.45533679,247.056013,43.94416311,2187.277483,70.0,3.0,565.2456916,6.0,385.6104467,0.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
30,4.0,176.8259468,18987.19844,58.94198228,322.1336933,0.6444650510000001,0.13386661,6.134824594,3.524872835,0.16290043199999998,1.29617868,7655.0,72.41836342,384.7528684,3990.8426700000014,45462.87653,103770.1164,19.61511836,234.22846260000003,90.6525217,3543.099257,80.0,3.0,578.6295221,8.0,400.2771426000001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
31,4.0,397.797325,46302.42947,132.59910829999998,349.19110730000006,0.549810943,0.068677282,5.246169281,2.243542108,3.023717632,8.034592441000001,4311.0,38.561756,377.7183666,4247.347806000002,45545.72465,121934.4294,19.43497791,214.700231,14.25379594,17725.12264,100.0,2.0,579.039695,9.0,408.3481087,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,10.0,438.519997,59267.21492000001,146.1733323,405.4584648,0.248779384,0.286389134,3.420736194,8.457091744,7.229097253,4.589189983,7069.0,20.3142978,337.3597890000001,4729.304226,44870.43421,164396.5667,18.36735662,189.4302735,26.20471693,21522.81642,70.0,2.0,,9.0,477.7763992,0.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,7.0,77.55311932,9944.400731,25.85103977,384.6808801,0.564419274,0.233494198,6.679381884,4.60431085,2.170264209,9.730858502,9104.0,55.277107,445.5008976,4737.810596,52029.12139,147979.3795,,146.3503753,27.84963823,704.1272971,,0.0,653.5379092999998,12.0,428.23802699999993,0.0,0.0,1.0,,0.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34,6.0,,-4399.115741,-8.227939637999999,534.6558111,0.154275944,0.995719569,6.672475848,9.683898946000001,1.642136003,1.29017781,6878.0,42.29171122,329.2335241,6005.025159000002,50478.16403,285856.8364,18.14479331,232.7873273,3.768974822,69.47105105,70.0,0.0,676.9569118,12.0,654.362318,2.0,1.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,1.0,1584.996029,256142.183,528.3320095,484.8129176,0.538511524,0.921727839,7.305838896,0.212809506,5.219495385,1.57026476,7558.0,58.01587517,482.6572132,5813.443603,57294.51195,235043.5651,21.96946092,51.52635499,78.81221329,279673.0443,60.0,2.0,709.8318118,9.0,453.9180563,0.0,1.0,1.0,0.0,0.0,1.0,2.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
36,5.0,236.46277,34529.21474,78.82092334,438.07168550000006,0.151948831,0.35475235,3.439577206,9.636449527,0.252725522,4.524865548999999,7722.0,45.63142203,454.9688317,5290.654519,54615.63097000001,,21.3299984,82.87216864,14.81528163,6301.55888,80.0,3.0,687.4292426,14.0,468.3002511,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,3.0,1944.698198,111564.2429,648.2327328,172.105229,0.592118673,0.369769532,6.718539002000001,7.870504265,4.612137601000001,2.728848264,3911.0,95.00583375,2.088267361,1725.228825,10186.13476,29620.20985,1.445083859,626.2110082,92.80152367,420863.9086,80.0,3.0,173.2918001,14.0,308.4036732,0.0,1.0,1.0,0.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38,7.0,105.3399194,11627.5743,,331.1443859,0.457070475,0.8633313020000001,3.541372879,3.820030158,7.318202143,6.182410902999999,5277.0,25.55158834,500.2991423,4312.042143,56398.54549,109656.6043,22.3673678,172.0157102,64.69429529,1278.057597,30.0,0.0,716.9740915,7.0,467.1808496,0.0,0.0,1.0,1.0,1.0,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,5.0,372.5626615000001,58535.73248,124.1875538,471.3494282,0.308114025,0.445061856,1.567928817,8.008381743,1.36989173,0.412908313,5839.0,82.05758287,478.6737297,5670.841740999998,55230.42156,222170.2834,21.87861352,117.5743489,82.86541179,15556.73608,40.0,2.0,671.9322323,7.0,387.98186560000005,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,7.0,805.8484641,73123.04918,268.6161547,272.2213385,0.071305742,0.910133898,9.914122303,6.13942934,4.93565232,0.007223831,3306.0,58.85993263,479.42687760000007,3681.06714,57582.5566,74104.45715,21.89581872,265.4812007,22.11516805,72433.25472000001,80.0,1.0,776.1116201,13.0,634.8105927999999,1.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
41,5.0,637.2170751,138083.0988,212.4056917,650.0913307,0.676956708,0.162707915,6.993837687,5.6008918020000005,4.505325982,7.879570019,4461.0,97.92380787,627.9305883,7756.774483,,422618.7382,25.05854322,199.6176341,45.37288717,45338.58356,100.0,1.0,864.7068044,,469.1202836,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
42,3.0,163.2303926,,54.41013086,730.9266397000001,0.63825878,0.993804481,6.689568378,1.783099442,1.493894251,0.06919020599999999,8158.0,92.69943421,695.2485467,8699.763490000001,80292.62258,534253.7526,26.36756619,304.1445474,82.09952058,3024.872471,90.0,2.0,965.0551815,10.0,532.4776509999998,0.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43,4.0,1194.482718,169275.1952,398.1609061,425.1426812,0.092896414,,7.713350696,1.647242312,7.3841863939999985,7.170588982000001,9633.0,16.12730746,421.03956380000005,5093.50594,50065.74816,180746.2994,20.51924862,149.1043422,12.32633109,158940.2681,60.0,4.0,620.4750381,9.0,398.0503252,1.0,1.0,1.0,1.0,0.0,1.0,2.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
44,4.0,273.8461215,62957.05956,91.28204051,689.6982058,0.83300858,0.778646222,3.287665639,3.396551525,7.612085815,5.563112113,6436.0,96.19812018,658.2223676,8213.426793,75589.74604,475683.6151,25.65584471,247.3497844,84.55330771,8433.69296,100.0,1.0,905.0022804,11.0,487.2646578,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
45,10.0,239.9015076,54085.996,79.96716919,676.352515,0.200804863,0.30726362,3.961849038,2.758670859,2.781796919,6.655404617,8536.0,4.220459471,627.7322847,8018.98972,72672.50707,457452.7246,25.0545861,219.0326739,10.49049117,6484.715318,100.0,3.0,870.7667326,9.0,476.3448499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
46,3.0,867.4547593,96098.79148,289.1515864,332.34744680000006,0.544182064,0.582075487,8.987854726,1.942591432,4.9405025060000005,2.703324012,4820.0,12.62066283,440.2785396,4204.031547,52307.85471,110454.8254,20.98281534,177.9939764,2.475344087,83907.79152,90.0,3.0,678.0868421,15.0,497.2028235,0.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
47,9.0,150.4960497,15241.778580000002,50.1653499,303.8308037,0.624816928,0.60005418,3.392543832,9.091291972,1.5310949930000002,4.797935458,5678.0,54.37271185,282.5178703,3603.343778,39229.27171,92313.15727,16.80826792,292.8881318,23.42277123,2576.727681,70.0,2.0,533.8386946,7.0,498.3790618,0.0,0.0,1.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
48,8.0,532.8052799999998,47776.2274,177.60176,269.0076236,0.076909267,0.860391606,9.742338282999999,3.735130297,5.352131182,8.509581804,3478.0,56.61861266,498.2901965,,59879.03381,72365.10153,22.32241467,287.6554232,26.44228772,31729.98692,70.0,5.0,811.0725586,13.0,671.4212387,0.0,0.0,1.0,0.0,1.0,1.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,3.0,45.09210565,7702.857623000001,15.03070188,512.4749118999998,0.717079097,0.562671092,7.239226682999999,1.948729602,2.929498323,2.4097596830000003,9468.0,30.59333905,496.1967862,6117.142691,59513.06208,262630.5353,22.27547499,21.55607511,21.98628245,250.952701,80.0,4.0,739.2429831000002,8.0,482.83676860000014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
