,Unnamed: 0,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Overall_happiness_score,Num_of_kids_born_last_10_years,Looking_at_poles_int,Married_int,Gender_int,Voting_time_int,Financial_agenda_matters_int,Will_vote_only_large_party_int,Age_group_int,Most_Important_Issue_Social,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Healthcare,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Other,Most_Important_Issue_Military,Main_transportation_Car,Main_transportation_Public_or_other,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Occupation_Services_or_Retail,Occupation_Public_Sector,Occupation_Student_or_Unemployed,Occupation_Hightech,Occupation_Industry_or_other
Avg_environmental_importance,1.73E-18,9.93E-17,2.26E-17,1.47E-17,8.67E-18,4.08E-17,3.05E-17,1.76E-18,1.26E-17,1.47E-17,0,2.58E-17,6.72E-18,1.60E-16,7.63E-17,5.20E-18,6.94E-17,9.54E-18,6.94E-18,1.39E-17,1.39E-17,3.21E-17,3.17E-17,4.25E-17,6.94E-17,2.60E-16,3.90E-18,3.92E-16,2.04E-17,6.94E-18,3.82E-17,1.91E-17,1.04E-17,5.90E-17,1.73E-18,1.54E-17,1.41E-17,2.66E-18,5.20E-18,1.95E-17,0,1.67E-16,3.47E-17,3.04E-17,1.53E-16,4.55E-18,3.64E-17,7.46E-17,1.21E-17,5.20E-17,6.25E-17,8.67E-19
Avg_Residancy_Altitude,3.64E-17,1.39E-16,3.08E-17,5.03E-17,4.86E-17,3.47E-17,1.13E-17,4.51E-17,1.47E-17,3.82E-17,2.58E-17,0,1.86E-17,3.73E-17,7.63E-17,1.04E-17,1.18E-16,8.67E-17,6.94E-18,1.70E-16,2.75E-17,2.86E-17,8.09E-18,8.85E-17,6.94E-18,9.76E-19,4.51E-17,1.94E-16,9.54E-18,8.67E-19,9.71E-17,1.17E-17,7.98E-17,3.25E-17,1.28E-16,4.68E-17,3.73E-17,1.13E-17,1.70E-17,1.69E-17,8.67E-19,2.08E-17,1.32E-17,4.68E-17,4.34E-17,8.41E-17,1.73E-18,2.08E-17,2.08E-17,5.55E-17,2.08E-17,2.17E-18
Yearly_ExpensesK,6.94E-18,1.29E-15,2.56E-17,2.95E-17,1.73E-17,3.08E-17,4.08E-17,9.65E-18,3.47E-18,8.67E-17,6.72E-18,1.86E-17,0,9.37E-17,3.47E-17,2.41E-17,4.68E-17,6.72E-18,2.43E-17,4.55E-17,9.76E-19,4.39E-18,2.09E-16,2.08E-17,9.37E-17,9.45E-17,5.03E-17,2.52E-16,1.21E-17,7.81E-18,1.91E-16,1.73E-17,4.34E-18,7.11E-17,3.47E-18,5.20E-17,3.64E-17,8.50E-17,4.34E-19,1.08E-16,1.69E-17,4.86E-17,1.65E-17,7.81E-17,9.54E-18,1.73E-17,7.29E-17,3.17E-17,1.56E-17,3.47E-18,1.43E-17,6.07E-18
%Time_invested_in_work,0,1.07E-16,2.82E-17,1.65E-17,6.51E-18,2.08E-17,1.89E-17,2.83E-17,1.21E-17,1.21E-17,1.60E-16,3.73E-17,9.37E-17,0,2.69E-17,9.97E-18,7.81E-18,1.64E-17,4.16E-17,4.68E-17,1.39E-17,1.86E-17,5.27E-16,2.60E-18,2.17E-18,4.06E-16,1.32E-16,2.07E-17,2.63E-17,3.47E-18,2.45E-17,6.77E-17,1.11E-16,3.90E-18,5.20E-18,6.07E-18,1.16E-16,9.97E-18,3.99E-17,6.59E-17,1.17E-17,1.52E-17,5.20E-17,2.26E-17,5.03E-17,6.07E-17,8.67E-19,1.56E-17,1.52E-18,1.03E-16,6.07E-17,2.63E-17
Yearly_IncomeK,4.51E-17,8.71E-16,5.55E-16,3.82E-17,4.44E-16,3.89E-16,1.21E-17,6.94E-18,7.11E-17,2.26E-17,7.63E-17,7.63E-17,3.47E-17,2.69E-17,0,1.89E-15,3.11E-15,2.05E-15,2.33E-15,1.22E-15,2.08E-17,3.61E-16,5.17E-16,6.94E-17,2.22E-15,5.03E-16,1.75E-15,5.03E-16,4.44E-16,8.88E-16,1.73E-17,6.94E-18,1.56E-17,1.25E-15,2.08E-17,1.05E-17,2.86E-17,4.51E-17,7.63E-17,8.67E-18,7.81E-17,3.47E-16,5.90E-17,3.82E-17,8.50E-17,2.08E-17,1.04E-16,8.67E-18,8.67E-17,7.63E-17,8.67E-18,3.47E-17
Avg_monthly_expense_on_pets_or_plants,3.47E-18,1.08E-15,1.39E-17,5.00E-16,6.07E-17,8.44E-15,2.78E-17,1.39E-17,1.53E-16,7.29E-17,5.20E-18,1.04E-17,2.41E-17,9.97E-18,1.89E-15,0,1.78E-15,4.44E-16,1.94E-15,8.33E-16,1.39E-17,5.20E-17,1.59E-15,5.20E-18,8.88E-16,2.50E-15,2.50E-16,5.68E-17,1.39E-17,2.66E-15,6.07E-17,8.85E-17,6.94E-18,2.69E-17,2.34E-17,1.04E-17,3.47E-18,8.67E-18,3.47E-18,2.95E-17,1.39E-16,1.39E-17,1.94E-16,1.06E-16,1.78E-17,4.86E-17,2.60E-18,7.81E-18,9.54E-17,2.78E-17,1.73E-18,2.78E-17
Avg_monthly_household_cost,3.73E-17,1.19E-15,1.94E-16,9.02E-17,1.17E-15,1.17E-15,6.07E-18,1.23E-17,5.55E-17,7.98E-17,6.94E-17,1.18E-16,4.68E-17,7.81E-18,3.11E-15,1.78E-15,0,3.22E-15,1.22E-15,5.55E-16,9.54E-18,7.49E-16,9.33E-16,8.67E-18,3.00E-15,3.12E-17,2.11E-15,6.25E-16,4.44E-16,8.33E-16,2.43E-17,2.19E-17,1.04E-17,3.61E-16,1.73E-18,5.72E-17,1.43E-17,8.67E-17,3.47E-18,9.97E-18,5.46E-17,3.05E-16,4.51E-17,2.69E-17,1.08E-17,1.18E-16,7.98E-17,4.86E-17,5.03E-17,3.12E-17,2.60E-17,1.04E-17
Phone_minutes_10_years,3.47E-17,1.20E-15,6.94E-18,1.28E-15,2.22E-16,3.11E-15,9.54E-18,5.90E-17,5.38E-17,8.67E-17,9.54E-18,8.67E-17,6.72E-18,1.64E-17,2.05E-15,4.44E-16,3.22E-15,0,1.61E-15,4.44E-16,2.30E-17,4.02E-16,3.89E-16,2.60E-17,1.94E-15,2.41E-15,1.11E-16,7.59E-17,1.39E-16,3.33E-16,3.30E-17,2.78E-17,1.84E-18,1.67E-16,3.64E-17,3.21E-17,1.91E-17,1.30E-18,2.43E-17,8.24E-18,1.11E-16,3.82E-17,1.04E-17,1.65E-17,4.34E-19,1.73E-18,4.69E-17,8.20E-17,4.51E-17,8.15E-17,1.21E-17,1.39E-17
Avg_size_per_room,5.03E-17,9.30E-16,3.05E-16,2.64E-16,2.78E-16,2.22E-16,2.43E-17,7.81E-18,1.27E-16,5.20E-18,6.94E-18,6.94E-18,2.43E-17,4.16E-17,2.33E-15,1.94E-15,1.22E-15,1.61E-15,0,2.05E-15,5.20E-17,5.55E-16,2.17E-17,4.51E-17,5.44E-15,6.87E-16,2.78E-16,5.93E-16,2.22E-16,7.49E-16,1.04E-17,4.34E-19,8.33E-17,3.05E-16,5.55E-17,2.98E-17,1.08E-18,1.56E-17,8.67E-18,2.69E-17,4.16E-17,6.25E-17,3.90E-18,2.34E-17,1.08E-17,4.51E-17,1.39E-17,5.20E-18,1.21E-17,3.12E-17,8.67E-18,1.47E-17
Weighted_education_rank,5.90E-17,7.04E-17,2.78E-16,2.36E-16,1.55E-15,6.66E-16,1.11E-16,4.25E-17,4.34E-17,6.77E-17,1.39E-17,1.70E-16,4.55E-17,4.68E-17,1.22E-15,8.33E-16,5.55E-16,4.44E-16,2.05E-15,0,3.14E-17,1.67E-16,3.83E-15,2.49E-17,5.00E-16,2.36E-15,3.89E-16,6.25E-16,2.78E-16,9.71E-17,2.26E-17,1.13E-17,3.47E-17,5.00E-16,4.16E-17,3.12E-17,5.55E-17,0,1.67E-16,1.11E-16,1.94E-16,9.71E-17,3.19E-16,3.47E-17,1.39E-17,1.63E-17,7.81E-18,6.94E-18,1.08E-16,2.08E-17,4.42E-17,5.20E-18
%_satisfaction_financial_policy,6.51E-18,4.15E-16,5.20E-17,5.20E-17,3.47E-18,3.47E-18,5.29E-17,6.07E-18,5.03E-17,1.52E-18,1.39E-17,2.75E-17,9.76E-19,1.39E-17,2.08E-17,1.39E-17,9.54E-18,2.30E-17,5.20E-17,3.14E-17,0,1.56E-17,2.98E-16,3.82E-17,3.60E-17,1.15E-16,5.20E-18,5.55E-16,3.82E-17,4.77E-18,1.06E-16,4.51E-17,1.73E-18,4.77E-18,2.95E-17,2.78E-17,1.99E-17,1.73E-18,2.08E-17,2.60E-17,1.73E-17,9.97E-18,1.56E-17,3.47E-17,1.86E-17,3.12E-17,1.56E-17,6.68E-17,3.47E-18,4.77E-18,2.60E-17,8.67E-19
Avg_monthly_income_all_years,2.60E-18,5.64E-16,3.00E-15,1.11E-16,2.33E-15,1.11E-16,1.01E-16,1.73E-18,8.67E-17,7.81E-18,3.21E-17,2.86E-17,4.39E-18,1.86E-17,3.61E-16,5.20E-17,7.49E-16,4.02E-16,5.55E-16,1.67E-16,1.56E-17,0,3.50E-15,3.35E-17,3.61E-16,3.22E-15,2.22E-16,7.70E-16,1.11E-15,1.11E-16,1.39E-17,2.17E-17,5.42E-18,1.44E-15,2.08E-17,7.63E-17,1.32E-16,1.73E-17,8.67E-17,4.16E-17,3.05E-16,3.05E-16,8.33E-17,9.54E-18,1.26E-17,3.86E-17,3.90E-18,5.85E-17,8.67E-19,1.21E-17,3.47E-18,1.39E-17
Last_school_grades,7.11E-17,3.61E-16,3.05E-15,2.25E-15,3.03E-15,1.56E-15,1.65E-16,3.94E-16,1.51E-16,2.34E-16,3.17E-17,8.09E-18,2.09E-16,5.27E-16,5.17E-16,1.59E-15,9.33E-16,3.89E-16,2.17E-17,3.83E-15,2.98E-16,3.50E-15,0,1.06E-15,1.76E-15,1.49E-14,2.72E-15,5.10E-16,1.09E-14,3.89E-16,4.00E-16,6.85E-17,4.70E-16,3.44E-15,3.19E-16,5.15E-15,2.00E-14,1.24E-14,2.83E-15,1.06E-14,1.17E-14,3.44E-15,3.90E-14,4.17E-16,7.11E-17,2.84E-16,3.59E-17,1.04E-17,1.24E-17,1.16E-16,1.53E-16,1.23E-16
Number_of_differnt_parties_voted_for,5.64E-18,9.19E-17,2.68E-17,9.19E-17,1.42E-17,5.55E-17,8.33E-17,4.86E-17,2.65E-17,1.39E-17,4.25E-17,8.85E-17,2.08E-17,2.60E-18,6.94E-17,5.20E-18,8.67E-18,2.60E-17,4.51E-17,2.49E-17,3.82E-17,3.35E-17,1.06E-15,0,1.60E-17,4.51E-17,5.20E-17,1.01E-15,2.39E-16,1.73E-16,3.60E-16,3.02E-16,4.86E-17,1.95E-17,1.56E-16,7.98E-17,6.25E-17,9.51E-16,3.63E-16,7.77E-16,4.23E-17,1.52E-16,3.30E-16,5.72E-17,2.19E-16,2.00E-16,6.52E-16,2.27E-16,6.05E-16,6.61E-16,1.47E-15,1.77E-16
Political_interest_Total_Score,0,7.88E-16,5.55E-16,5.55E-17,1.28E-15,0,2.47E-17,8.24E-18,1.04E-17,1.39E-17,6.94E-17,6.94E-18,9.37E-17,2.17E-18,2.22E-15,8.88E-16,3.00E-15,1.94E-15,5.44E-15,5.00E-16,3.60E-17,3.61E-16,1.76E-15,1.60E-17,0,8.26E-16,5.55E-16,6.11E-16,1.92E-15,1.67E-16,1.73E-18,9.97E-18,2.95E-17,1.67E-16,1.21E-17,1.84E-16,6.94E-18,6.94E-18,2.43E-17,4.25E-17,9.71E-17,3.19E-16,2.15E-16,1.21E-17,6.94E-18,6.25E-17,6.25E-17,3.25E-17,4.16E-17,6.94E-18,3.47E-18,3.47E-17
Number_of_valued_Kneset_members,9.89E-17,4.60E-17,4.39E-15,1.94E-15,3.58E-15,1.58E-15,2.17E-16,5.55E-17,1.44E-16,1.51E-16,2.60E-16,9.76E-19,9.45E-17,4.06E-16,5.03E-16,2.50E-15,3.12E-17,2.41E-15,6.87E-16,2.36E-15,1.15E-16,3.22E-15,1.49E-14,4.51E-17,8.26E-16,0,3.47E-15,1.99E-16,1.67E-14,6.37E-15,4.21E-17,1.55E-16,3.40E-16,1.42E-15,9.71E-16,9.16E-16,6.11E-15,3.66E-15,7.38E-15,5.69E-16,1.47E-15,6.26E-15,6.49E-15,5.55E-17,9.09E-16,6.40E-16,7.15E-16,2.09E-16,2.22E-16,5.60E-16,1.44E-16,4.62E-16
Overall_happiness_score,1.26E-17,1.40E-16,5.55E-16,9.16E-16,1.80E-15,3.89E-16,1.21E-17,2.43E-17,4.60E-17,8.67E-17,3.90E-18,4.51E-17,5.03E-17,1.32E-16,1.75E-15,2.50E-16,2.11E-15,1.11E-16,2.78E-16,3.89E-16,5.20E-18,2.22E-16,2.72E-15,5.20E-17,5.55E-16,3.47E-15,0,4.82E-16,9.44E-16,3.47E-16,5.12E-17,2.80E-17,5.55E-17,9.99E-16,8.67E-19,7.29E-17,6.94E-17,4.16E-17,8.33E-17,5.90E-17,1.53E-16,4.86E-17,2.64E-16,1.73E-18,2.17E-17,7.16E-18,8.67E-19,1.13E-16,7.98E-17,3.21E-17,1.82E-17,0
Num_of_kids_born_last_10_years,3.21E-17,4.96E-16,6.52E-16,7.88E-16,1.17E-15,1.86E-17,1.01E-16,1.80E-16,1.36E-16,6.49E-16,3.92E-16,1.94E-16,2.52E-16,2.07E-17,5.03E-16,5.68E-17,6.25E-16,7.59E-17,5.93E-16,6.25E-16,5.55E-16,7.70E-16,5.10E-16,1.01E-15,6.11E-16,1.99E-16,4.82E-16,0,3.12E-17,2.26E-17,9.97E-17,1.36E-15,6.17E-17,9.40E-16,6.59E-17,2.08E-15,4.94E-16,2.62E-16,3.16E-16,1.31E-16,1.15E-15,5.67E-16,3.23E-16,1.77E-16,2.80E-16,4.62E-16,6.45E-16,3.24E-16,3.06E-16,1.17E-15,2.60E-17,9.70E-16
Looking_at_poles_int,0,9.49E-16,4.77E-15,8.88E-16,1.89E-15,3.04E-18,0,5.20E-18,2.22E-16,8.67E-18,2.04E-17,9.54E-18,1.21E-17,2.63E-17,4.44E-16,1.39E-17,4.44E-16,1.39E-16,2.22E-16,2.78E-16,3.82E-17,1.11E-15,1.09E-14,2.39E-16,1.92E-15,1.67E-14,9.44E-16,3.12E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Married_int,0,1.12E-15,8.33E-17,1.05E-15,5.00E-16,9.99E-16,0,2.60E-17,2.29E-16,3.30E-17,6.94E-18,8.67E-19,7.81E-18,3.47E-18,8.88E-16,2.66E-15,8.33E-16,3.33E-16,7.49E-16,9.71E-17,4.77E-18,1.11E-16,3.89E-16,1.73E-16,1.67E-16,6.37E-15,3.47E-16,2.26E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender_int,0,5.60E-16,2.78E-17,2.04E-17,8.67E-18,8.33E-17,0,8.67E-18,9.02E-17,6.94E-18,3.82E-17,9.71E-17,1.91E-16,2.45E-17,1.73E-17,6.07E-17,2.43E-17,3.30E-17,1.04E-17,2.26E-17,1.06E-16,1.39E-17,4.00E-16,3.60E-16,1.73E-18,4.21E-17,5.12E-17,9.97E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voting_time_int,0,4.67E-16,3.12E-17,1.04E-17,1.56E-17,1.69E-17,0,6.59E-17,6.59E-17,1.47E-17,1.91E-17,1.17E-17,1.73E-17,6.77E-17,6.94E-18,8.85E-17,2.19E-17,2.78E-17,4.34E-19,1.13E-17,4.51E-17,2.17E-17,6.85E-17,3.02E-16,9.97E-18,1.55E-16,2.80E-17,1.36E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial_agenda_matters_int,0,2.01E-16,4.45E-17,4.29E-17,1.60E-17,2.39E-17,0,1.04E-17,1.39E-17,5.03E-17,1.04E-17,7.98E-17,4.34E-18,1.11E-16,1.56E-17,6.94E-18,1.04E-17,1.84E-18,8.33E-17,3.47E-17,1.73E-18,5.42E-18,4.70E-16,4.86E-17,2.95E-17,3.40E-16,5.55E-17,6.17E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will_vote_only_large_party_int,0,2.45E-16,2.55E-15,5.55E-16,4.44E-16,1.08E-16,0,3.47E-18,1.39E-17,1.13E-17,5.90E-17,3.25E-17,7.11E-17,3.90E-18,1.25E-15,2.69E-17,3.61E-16,1.67E-16,3.05E-16,5.00E-16,4.77E-18,1.44E-15,3.44E-15,1.95E-17,1.67E-16,1.42E-15,9.99E-16,9.40E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_group_int,0,5.83E-16,7.98E-17,2.08E-17,2.43E-17,3.56E-17,0,4.16E-17,9.71E-17,7.81E-18,1.73E-18,1.28E-16,3.47E-18,5.20E-18,2.08E-17,2.34E-17,1.73E-18,3.64E-17,5.55E-17,4.16E-17,2.95E-17,2.08E-17,3.19E-16,1.56E-16,1.21E-17,9.71E-16,8.67E-19,6.59E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Most_Important_Issue_Social,0,6.77E-17,1.32E-16,0,1.04E-16,3.82E-17,0,3.12E-17,1.01E-16,5.03E-17,1.54E-17,4.68E-17,5.20E-17,6.07E-18,1.05E-17,1.04E-17,5.72E-17,3.21E-17,2.98E-17,3.12E-17,2.78E-17,7.63E-17,5.15E-15,7.98E-17,1.84E-16,9.16E-16,7.29E-17,2.08E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Most_Important_Issue_Education,0,1.54E-16,6.94E-18,6.59E-17,6.25E-17,2.26E-17,0,3.64E-17,1.07E-17,1.04E-17,1.41E-17,3.73E-17,3.64E-17,1.16E-16,2.86E-17,3.47E-18,1.43E-17,1.91E-17,1.08E-18,5.55E-17,1.99E-17,1.32E-16,2.00E-14,6.25E-17,6.94E-18,6.11E-15,6.94E-17,4.94E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Most_Important_Issue_Environment,0,3.53E-16,1.21E-17,1.51E-17,3.99E-17,1.39E-17,0,2.17E-17,1.04E-17,3.64E-17,2.66E-18,1.13E-17,8.50E-17,9.97E-18,4.51E-17,8.67E-18,8.67E-17,1.30E-18,1.56E-17,0,1.73E-18,1.73E-17,1.24E-14,9.51E-16,6.94E-18,3.66E-15,4.16E-17,2.62E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
